Country_0,Country_1,Country_2,Country_3,Country_4,Country_5,Country_6,Country_7,Country_8,Mental _hospitals,health_units,outpatient _facilities,day _treatment,residential_facilities,Psychiatrists,Nurses,Social_workers,Psychologists,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,population, 80_above, 70to79, 60to69 , 50to59 , 40to49, 30to39, 20to29, 10to19,Sex_Female,Sex_Male
0,0,0,0,0,0,1,0,1,0.937,1.071,1.72,1.0704390243902437,0.152,21.705,12.5657205882353,2.612166666666667,222.572,6.65,6.56,6.74,1.15137,1.0661200000000002,0.69711,0.42284,0.07296,0.10989000000000003,3.12985,17460,0.152672,0.19522,0.26488,0.303359,0.386415,0.556072,0.881958,0.454787,0,1
0,0,0,0,0,0,1,1,0,0.23452777777777778,0.069,1.371,0.034,0.6730526315789473,3.84,11.245,0.274,0.7879999999999999,4.36,4.266,4.454,0.8608600000000001,0.6247699999999999,0.64083,0.14037,0.036160000000000005,0.07793,1.97864,2518,0.022877999999999996,0.02349,0.026159,0.034608,0.02988,0.024354,0.022275,0.007744000000000001,0,0
0,0,0,0,0,0,1,1,0,0.23452777777777778,0.069,1.371,0.034,0.6730526315789473,3.84,11.245,0.274,0.7879999999999999,4.36,4.266,4.454,0.8608600000000001,0.6247699999999999,0.64083,0.14037,0.036160000000000005,0.07793,1.97864,1359,0.010504,0.008528,0.006512,0.006032,0.004209,0.003402,0.002304,0.000978,1,0
0,0,0,0,0,0,1,1,0,0.23452777777777778,0.069,1.371,0.034,0.6730526315789473,3.84,11.245,0.274,0.7879999999999999,4.36,4.266,4.454,0.8608600000000001,0.6247699999999999,0.64083,0.14037,0.036160000000000005,0.07793,1.97864,1157,0.01189,0.014893000000000002,0.019758,0.02862,0.025627999999999998,0.021008,0.019516,0.006615,0,1
0,0,0,0,0,0,1,1,1,0.23452777777777778,0.2929878048780487,1.3035733333333335,1.0704390243902437,0.6730526315789473,4.615691358024691,12.5657205882353,2.612166666666667,11.07801515151515,7.313,7.241,7.385,1.44443,1.10476,0.8512,0.5683699999999999,0.32331,0.47407,2.5465,21121,0.27734400000000003,0.20095399999999997,0.319533,0.5552819999999999,0.639659,0.5603940000000001,0.48191300000000004,0.16486399999999998,0,0
0,0,0,0,0,0,1,1,1,0.23452777777777778,0.2929878048780487,1.3035733333333335,1.0704390243902437,0.6730526315789473,4.615691358024691,12.5657205882353,2.612166666666667,11.07801515151515,7.313,7.241,7.385,1.44443,1.10476,0.8512,0.5683699999999999,0.32331,0.47407,2.5465,10648,0.113565,0.052796,0.078058,0.13887,0.153972,0.13752,0.11566799999999999,0.055965,1,0
0,0,0,0,0,0,1,1,1,0.23452777777777778,0.2929878048780487,1.3035733333333335,1.0704390243902437,0.6730526315789473,4.615691358024691,12.5657205882353,2.612166666666667,11.07801515151515,7.313,7.241,7.385,1.44443,1.10476,0.8512,0.5683699999999999,0.32331,0.47407,2.5465,10473,0.16315200000000002,0.147708,0.24136200000000002,0.414975,0.48591799999999996,0.42459299999999994,0.365562,0.11015699999999999,0,1
0,0,0,0,0,1,0,0,0,0.23452777777777778,0.2929878048780487,1.3035733333333335,1.0704390243902437,0.6730526315789473,4.615691358024691,12.5657205882353,2.612166666666667,11.07801515151515,7.119,7.045,7.193,1.45038,1.0838299999999998,0.80565,0.54355,0.21348000000000006,0.32865,2.69343,7926,0.183232,0.19276800000000002,0.165006,0.308385,0.201745,0.151829,0.122148,0.039285,0,0
0,0,0,0,0,1,0,0,0,0.23452777777777778,0.2929878048780487,1.3035733333333335,1.0704390243902437,0.6730526315789473,4.615691358024691,12.5657205882353,2.612166666666667,11.07801515151515,7.119,7.045,7.193,1.45038,1.0838299999999998,0.80565,0.54355,0.21348000000000006,0.32865,2.69343,4062,0.03683,0.052576000000000005,0.04356,0.088176,0.048791999999999995,0.036287999999999994,0.023822,0.015688,1,0
0,0,0,0,0,1,0,0,0,0.23452777777777778,0.2929878048780487,1.3035733333333335,1.0704390243902437,0.6730526315789473,4.615691358024691,12.5657205882353,2.612166666666667,11.07801515151515,7.119,7.045,7.193,1.45038,1.0838299999999998,0.80565,0.54355,0.21348000000000006,0.32865,2.69343,3866,0.14596199999999998,0.14007,0.12165599999999999,0.220777,0.153034,0.116017,0.098667,0.023296,0,1
